house_id,size_sqm,bedrooms,bathrooms,age_years,distance_center_km,price_usd
1,85,2,1,5,8.5,120000
2,120,3,2,2,6.2,180000
3,65,1,1,15,12.0,85000
4,150,4,3,1,4.5,250000
5,95,2,2,8,9.1,135000
6,110,3,2,3,7.0,165000
7,75,2,1,12,10.5,105000
8,135,3,2,4,5.8,200000
9,180,4,3,1,3.2,320000
10,90,2,1,6,8.8,125000
11,60,1,1,20,15.0,75000
12,125,3,2,2,6.5,185000
13,80,2,1,10,9.8,115000
14,160,4,3,1,4.0,280000
15,105,3,2,5,7.5,155000
16,70,2,1,18,13.2,90000
17,115,3,2,3,6.8,170000
18,140,3,3,2,5.2,210000
19,85,2,1,8,9.5,120000
20,130,3,2,4,6.0,190000
21,200,5,4,1,2.8,380000
22,95,2,2,7,8.9,140000
23,55,1,1,25,16.5,65000
24,145,4,3,2,4.8,240000
25,100,3,2,6,7.8,150000
26,175,4,3,1,3.5,310000
27,82,2,1,9,9.2,118000
28,122,3,2,3,6.4,175000
29,68,1,1,16,13.8,82000
30,155,4,3,2,4.2,265000
31,92,2,2,7,8.6,132000
32,165,4,3,1,3.8,295000
33,78,2,1,11,10.2,110000
34,118,3,2,4,6.9,168000
35,195,5,4,1,2.5,365000
36,88,2,1,8,9.0,122000
37,63,1,1,22,14.5,72000
38,148,4,3,2,4.6,245000
39,103,3,2,5,7.6,152000
40,172,4,3,1,3.6,305000
41,86,2,1,9,9.3,119000
42,128,3,2,3,6.1,182000
43,72,2,1,14,11.8,95000
44,112,3,2,4,7.2,162000
45,158,4,3,2,4.1,270000
46,89,2,2,7,8.7,128000
47,133,3,2,3,5.9,195000
48,190,5,4,1,2.9,350000
49,96,2,2,6,8.2,138000
50,142,3,3,2,5.1,215000
