month,advertising_budget,temperature,sales_volume,competitor_count,promotion_days
1,5000,15,12000,3,2
2,7500,18,15500,3,3
3,6000,22,14200,4,1
4,8000,25,17800,4,4
5,9500,28,21000,4,5
6,11000,32,24500,5,3
7,12500,35,27200,5,6
8,10000,33,22800,5,4
9,8500,29,19500,4,2
10,7000,24,16200,4,3
11,5500,19,13800,3,1
12,6500,16,14500,3,4
13,9000,31,20500,5,5
14,7800,26,17200,4,3
15,10500,34,23800,5,4
16,6200,23,15200,4,2
17,8800,30,19800,4,4
18,11500,36,25800,5,6
19,7200,27,16800,4,2
20,9800,32,22200,5,5
21,5800,20,14000,3,1
22,12000,37,26500,5,7
23,8200,28,18500,4,3
24,10200,33,23000,5,4
25,6800,25,16000,4,2
26,9200,31,20800,5,4
27,7600,24,17000,4,3
28,11200,35,25000,5,5
29,5200,17,13200,3,1
30,8600,29,19200,4,4
31,10800,34,24200,5,5
32,7400,26,16600,4,2
33,9600,32,21800,5,4
34,6400,21,15000,3,2
35,11800,38,27000,5,6
36,8000,27,18000,4,3
37,10000,33,22500,5,4
38,7000,24,16500,4,2
39,9400,30,21200,4,5
40,6600,23,15600,4,1
41,11600,36,26200,5,6
42,8400,28,18800,4,3
43,10600,34,23600,5,5
44,7200,25,16800,4,2
45,9000,31,20200,5,4
46,5600,18,13600,3,1
47,12200,37,27500,5,7
48,8800,29,19600,4,4
