student_id,study_hours,math_score,physics_score,height_cm,weight_kg,sleep_hours,caffeine_cups
1,2.5,65,70,165,55,7,1
2,4.0,78,82,170,62,8,2
3,1.5,45,50,160,48,6,0
4,6.0,92,88,175,68,7,3
5,3.0,70,75,168,58,8,1
6,5.5,88,85,172,65,6,2
7,2.0,58,62,163,52,9,0
8,4.5,82,80,169,60,7,2
9,7.0,95,92,178,72,6,4
10,3.5,75,78,166,56,8,1
11,1.0,40,45,158,45,5,0
12,5.0,85,87,173,67,7,2
13,2.8,68,72,167,59,8,1
14,6.5,90,89,176,70,6,3
15,4.2,80,83,171,63,7,2
16,1.8,52,55,162,50,9,0
17,3.8,76,79,169,61,8,1
18,5.8,87,86,174,66,6,3
19,2.2,60,65,164,53,7,1
20,4.8,84,84,172,64,7,2
21,7.5,98,95,180,75,5,4
22,3.2,72,76,168,57,8,1
23,1.2,42,48,159,46,6,0
24,5.2,86,88,173,68,7,2
25,4.0,78,81,170,62,8,2
26,6.8,93,91,177,71,6,3
27,2.6,66,69,165,54,8,1
28,4.6,83,82,171,63,7,2
29,1.6,48,52,161,49,9,0
30,5.6,89,87,175,69,6,3
31,3.4,74,77,168,58,8,1
32,6.2,91,90,176,70,6,3
33,2.4,62,67,164,53,7,1
34,4.4,81,83,170,62,7,2
35,7.2,96,94,179,74,5,4
36,3.6,76,78,169,60,8,1
37,1.4,44,49,160,47,6,0
38,5.4,87,86,174,67,7,2
39,4.1,79,80,171,63,8,2
40,6.6,92,89,177,71,6,3
41,2.9,69,73,166,56,8,1
42,4.9,84,85,172,65,7,2
43,1.9,54,58,162,51,9,0
44,3.9,77,79,170,61,8,1
45,5.9,88,87,175,68,6,3
46,2.7,67,70,165,55,8,1
47,4.7,83,83,171,64,7,2
48,7.4,97,93,179,73,5,4
49,3.3,73,76,168,58,8,1
50,5.3,86,86,174,67,7,2
