ID,Ism,Yosh,Jinsi,Bo_lim,Shahar,Ta_lim,Tajriba_yil,Maosh,Baho
1,Xodim_1,32,Erkak,HR,Namangan,PhD,1,3633482,4.3
3,Xodim_3,33,Erkak,Operatsiya,Farg'ona,Oliy,0,5461186,4.0
6,Xodim_6,28,Erkak,IT,Farg'ona,O'rta-maxsus,6,6148189,4.0
9,Xodim_9,27,Erkak,Sotish,Namangan,O'rta-maxsus,2,3000000,4.5
11,Xodim_11,27,Ayol,Moliya,Andijon,Magistr,0,6768130,4.4
13,Xodim_13,31,Erkak,IT,Farg'ona,Magistr,9,3000000,4.3
14,Xodim_14,22,Erkak,IT,Buxoro,Oliy,0,5821759,4.7
17,Xodim_17,24,Ayol,Operatsiya,Andijon,Oliy,1,6733196,4.3
19,Xodim_19,25,Erkak,Operatsiya,Samarqand,Magistr,2,4972266,4.2
21,Xodim_21,37,Ayol,Operatsiya,Samarqand,Oliy,0,5874641,4.0
23,Xodim_23,30,Erkak,Moliya,Farg'ona,Magistr,8,4028547,4.6
24,Xodim_24,22,Erkak,IT,Toshkent,Magistr,0,7008093,4.1
25,Xodim_25,27,Ayol,Sotish,Andijon,PhD,1,4939484,4.2
29,Xodim_29,26,Erkak,Sotish,Samarqand,Oliy,1,4892701,4.2
31,Xodim_31,26,Erkak,Moliya,Samarqand,Magistr,2,9929450,4.1
32,Xodim_32,39,Ayol,IT,Farg'ona,Oliy,0,6070527,5.0
33,Xodim_33,29,Ayol,Moliya,Farg'ona,Magistr,7,4600548,4.4
35,Xodim_35,34,Erkak,Sotish,Namangan,Oliy,3,5775343,4.6
41,Xodim_41,33,Ayol,Operatsiya,Namangan,Oliy,7,5449896,4.0
42,Xodim_42,30,Erkak,HR,Buxoro,O'rta-maxsus,5,3000000,4.8
43,Xodim_43,29,Erkak,Marketing,Andijon,Magistr,7,3000000,4.2
45,Xodim_45,22,Ayol,HR,Buxoro,Oliy,0,9289935,4.4
47,Xodim_47,27,Ayol,HR,Farg'ona,PhD,5,7153113,4.1
48,Xodim_48,35,Erkak,Marketing,Toshkent,Oliy,6,6622500,4.4
50,Xodim_50,22,Erkak,HR,Farg'ona,Oliy,0,8239149,4.6
51,Xodim_51,31,Erkak,HR,Andijon,Oliy,1,5744164,4.2
53,Xodim_53,26,Ayol,IT,Toshkent,Oliy,4,3000000,4.3
54,Xodim_54,33,Ayol,IT,Farg'ona,Magistr,0,6406927,5.0
55,Xodim_55,35,Erkak,Marketing,Farg'ona,Magistr,2,4487298,4.1
56,Xodim_56,34,Ayol,Operatsiya,Farg'ona,Magistr,1,3155492,4.1
59,Xodim_59,31,Erkak,HR,Andijon,O'rta-maxsus,5,9374283,4.4
61,Xodim_61,27,Erkak,HR,Samarqand,Oliy,1,5984054,4.0
63,Xodim_63,24,Ayol,Sotish,Andijon,Oliy,0,6154736,4.2
64,Xodim_64,24,Ayol,Moliya,Toshkent,Oliy,2,4277431,4.2
65,Xodim_65,34,Erkak,HR,Farg'ona,Oliy,5,9046248,4.5
70,Xodim_70,26,Ayol,IT,Farg'ona,Magistr,4,3234400,4.2
71,Xodim_71,31,Ayol,Operatsiya,Namangan,O'rta-maxsus,5,7852355,4.4
73,Xodim_73,29,Erkak,Moliya,Samarqand,Magistr,1,3202864,4.4
74,Xodim_74,37,Ayol,Marketing,Andijon,O'rta-maxsus,0,7125938,4.7
75,Xodim_75,22,Ayol,Moliya,Samarqand,O'rta-maxsus,0,4698714,4.2
76,Xodim_76,34,Erkak,HR,Samarqand,PhD,2,5025749,4.9
80,Xodim_80,22,Erkak,IT,Namangan,Magistr,0,4338099,4.7
81,Xodim_81,28,Erkak,HR,Namangan,PhD,0,6540913,4.3
82,Xodim_82,31,Ayol,Operatsiya,Andijon,Magistr,3,5899523,4.0
83,Xodim_83,37,Ayol,Sotish,Samarqand,Oliy,2,5522103,4.1
85,Xodim_85,25,Ayol,HR,Andijon,Magistr,2,4846457,5.0
86,Xodim_86,27,Erkak,HR,Buxoro,Oliy,5,7510782,4.1
87,Xodim_87,34,Erkak,Operatsiya,Andijon,Oliy,2,7001834,4.1
88,Xodim_88,31,Ayol,IT,Andijon,Magistr,2,4044889,4.4
89,Xodim_89,27,Ayol,Moliya,Samarqand,Oliy,5,6198664,4.2
90,Xodim_90,32,Ayol,HR,Buxoro,Oliy,1,7502774,4.1
92,Xodim_92,34,Erkak,Operatsiya,Toshkent,Oliy,0,7086720,4.2
93,Xodim_93,26,Erkak,Marketing,Toshkent,O'rta-maxsus,4,4674752,4.9
94,Xodim_94,28,Erkak,Moliya,Namangan,Oliy,2,7141197,4.7
95,Xodim_95,28,Erkak,Sotish,Buxoro,Oliy,3,4473481,4.8
99,Xodim_99,30,Ayol,Moliya,Buxoro,PhD,1,6519445,4.0
100,Xodim_100,28,Ayol,Moliya,Toshkent,Oliy,2,4191366,4.5
