Customer_ID,Yosh,Jins,Daromad,Xarid_Soni,Jami_Xarajat,Sodiqlik_Darajasi,Ro'yxatdan_o'tgan
1,26.0,Erkak,47248670.0,49.0,4087489.0,O'rta,2020-01-01
2,42.0,Erkak,7137618.0,15.0,8963843.0,Past,2020-01-02
3,,Ayol,8968603.0,19.0,6485545.0,O'rta,2020-01-03
4,57.0,Erkak,37286762.0,19.0,2760731.0,Past,2020-01-04
5,41.0,Ayol,,,2693364.0,Past,2020-01-05
6,33.0,Ayol,40678117.0,20.0,5140694.0,Past,2020-01-06
7,,Ayol,6463783.0,21.0,9366659.0,O'rta,2020-01-07
8,28.0,Ayol,35857459.0,,5263728.0,O'rta,2020-01-08
9,48.0,Erkak,,16.0,3994299.0,Yuqori,2020-01-09
10,52.0,Ayol,37317031.0,45.0,9906315.0,Past,2020-01-10
11,20.0,Erkak,25184818.0,14.0,5363141.0,Past,2020-01-11
12,52.0,Erkak,24722876.0,26.0,8900800.0,Yuqori,2020-01-12
13,32.0,Ayol,34749008.0,48.0,4660174.0,O'rta,2020-01-13
14,,Ayol,48886946.0,38.0,3588026.0,Past,2020-01-14
15,67.0,Erkak,43002193.0,27.0,9894108.0,O'rta,2020-01-15
16,66.0,Erkak,25413206.0,47.0,1688155.0,,2020-01-16
17,42.0,Erkak,37999248.0,,5606659.0,Yuqori,2020-01-17
18,33.0,Erkak,49360895.0,,1337316.0,O'rta,2020-01-18
19,54.0,Ayol,13221891.0,48.0,8769080.0,Yuqori,2020-01-19
20,61.0,Ayol,28844531.0,23.0,9139434.0,Past,2020-01-20
21,34.0,Ayol,10724428.0,46.0,530067.0,,2020-01-21
22,,Ayol,43839321.0,15.0,140735.0,Yuqori,2020-01-22
23,47.0,Erkak,30756674.0,45.0,2143980.0,Past,2020-01-23
24,40.0,Erkak,13537472.0,9.0,,Past,2020-01-24
25,20.0,Ayol,16085165.0,30.0,3302138.0,Past,2020-01-25
26,45.0,Erkak,5835835.0,8.0,4588514.0,,2020-01-26
27,62.0,Ayol,,37.0,2522124.0,O'rta,2020-01-27
28,22.0,Ayol,13934716.0,,1371246.0,Yuqori,2020-01-28
29,49.0,Ayol,15066637.0,40.0,7198190.0,O'rta,2020-01-29
30,,Erkak,25266627.0,35.0,9088134.0,Yuqori,2020-01-30
31,31.0,Ayol,4099326.0,5.0,9016335.0,Past,2020-01-31
32,,Erkak,12963791.0,13.0,1927576.0,,2020-02-01
33,,Ayol,6229366.0,,1575601.0,Past,2020-02-02
34,,Erkak,39686866.0,,5055068.0,,2020-02-03
35,45.0,Ayol,21755348.0,30.0,9758224.0,Past,2020-02-04
36,21.0,Erkak,15592461.0,,2100696.0,O'rta,2020-02-05
37,25.0,Ayol,38402737.0,,6194553.0,O'rta,2020-02-06
38,67.0,Ayol,7563736.0,19.0,6501852.0,Yuqori,2020-02-07
39,65.0,Erkak,33622885.0,,6862227.0,,2020-02-08
40,19.0,Erkak,6377382.0,22.0,233900.0,Past,2020-02-09
41,,Erkak,17631781.0,24.0,5157689.0,O'rta,2020-02-10
42,,Ayol,27157019.0,,9135015.0,Past,2020-02-11
