Product_ID,Nomi,Kategoriya,Brand,Narx,Sotilgan_Soni,Reyting,Mavjud
1,Product_1,Food,Brand_C,251635.0,348.0,1.3,Ha
2,Product_2,Clothing,Brand_E,2374671.0,126.0,4.4,Yo'q
3,Product_3,Electronics,Brand_E,3682228.0,861.0,,Yo'q
4,Product_4,Home,Brand_D,2529979.0,390.0,3.1,Yo'q
5,Product_5,Food,Brand_E,3799661.0,830.0,4.2,Yo'q
6,Product_6,Home,Brand_D,4164632.0,345.0,4.0,Ha
7,Product_7,Clothing,Brand_D,3073091.0,605.0,1.3,Yo'q
8,Product_8,Books,Brand_A,928025.0,76.0,1.7,Ha
9,Product_9,Clothing,Brand_C,4278726.0,267.0,3.6,Ha
10,Product_10,Clothing,Brand_A,1135126.0,163.0,3.1,Ha
11,Product_11,Books,Brand_E,4883798.0,721.0,2.4,Yo'q
12,Product_12,Food,Brand_E,332869.0,764.0,4.7,Yo'q
13,Product_13,Electronics,Brand_C,4674056.0,603.0,4.3,Ha
14,Product_14,Clothing,Brand_A,805478.0,767.0,3.1,Yo'q
15,Product_15,Books,Brand_C,3633193.0,248.0,4.8,Ha
16,Product_16,Books,Brand_E,4553283.0,996.0,3.3,Yo'q
17,Product_17,Clothing,Brand_A,527362.0,820.0,3.8,Yo'q
18,Product_18,Clothing,,2445814.0,800.0,2.4,Yo'q
19,Product_19,Electronics,Brand_B,4551950.0,220.0,4.4,Yo'q
20,Product_20,Electronics,Brand_E,4742568.0,880.0,3.9,Ha
21,Product_21,Books,Brand_C,3316733.0,746.0,,Ha
22,Product_22,Food,Brand_A,365804.0,134.0,,Ha
23,Product_23,Books,Brand_D,2667759.0,649.0,4.9,Yo'q
24,Product_24,Electronics,Brand_A,2843407.0,,4.3,Yo'q
25,Product_25,Home,Brand_D,1225283.0,299.0,3.0,Yo'q
26,Product_26,Electronics,Brand_B,4455324.0,732.0,1.5,Ha
27,Product_27,Books,Brand_D,3494183.0,632.0,2.4,Yo'q
28,Product_28,Home,Brand_C,1970395.0,13.0,1.4,Ha
29,Product_29,Food,Brand_B,2094393.0,56.0,4.7,Yo'q
30,Product_30,Food,Brand_B,3142654.0,133.0,1.1,Yo'q
31,Product_31,Home,Brand_D,412406.0,544.0,4.7,Ha
32,Product_32,Electronics,Brand_C,2437110.0,380.0,3.6,Ha
33,Product_33,Books,Brand_B,4457607.0,200.0,1.4,Yo'q
34,Product_34,Electronics,Brand_E,588788.0,583.0,3.7,Yo'q
35,Product_35,Electronics,Brand_A,4638025.0,794.0,,Yo'q
36,Product_36,Books,Brand_D,2242019.0,156.0,2.6,Yo'q
37,Product_37,Clothing,Brand_A,531677.0,952.0,2.1,Ha
38,Product_38,Electronics,Brand_A,1490617.0,933.0,3.2,Ha
39,Product_39,Electronics,Brand_C,666276.0,132.0,3.2,Ha
40,Product_40,Home,Brand_C,4885622.0,627.0,1.6,Yo'q
41,Product_41,Food,Brand_E,4562111.0,539.0,2.8,Yo'q
42,Product_42,Books,Brand_B,506361.0,995.0,4.2,Yo'q
43,Product_43,Home,Brand_B,3296051.0,343.0,1.1,Yo'q
44,Product_44,Food,Brand_C,3051188.0,625.0,4.2,Yo'q
45,Product_45,Home,Brand_B,4383430.0,280.0,3.7,Yo'q
