epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.39879,2.53443,3.628,3.42599,0.00167,0.66667,0.00163,0.00075,2.82812,5.55735,4.32713,0,0,0
2,4.24115,2.3434,3.27489,2.8648,0.00167,0.66667,0.00499,0.00141,2.92713,5.35309,4.29585,1.901e-05,1.901e-05,1.901e-05
3,6.01545,2.50063,3.33896,2.80578,0.00167,0.66667,0.0078,0.00183,3.02479,5.05692,4.24614,3.604e-05,3.604e-05,3.604e-05
4,7.89237,2.43116,3.75598,2.88475,0.00167,0.66667,0.01621,0.00298,3.10636,5.00608,4.1141,5.109e-05,5.109e-05,5.109e-05
5,9.73658,2.75534,3.87882,3.06412,0.00167,0.66667,0.03451,0.0069,3.27154,4.77229,4.01824,6.416e-05,6.416e-05,6.416e-05
6,11.4424,1.78567,3.24542,2.41455,0.00167,0.66667,0.03455,0.00697,3.10102,4.58942,3.75056,7.525e-05,7.525e-05,7.525e-05
7,13.2405,2.0564,3.59758,2.68017,0.00167,0.66667,0.0489,0.00573,3.0912,4.79063,3.4664,8.436e-05,8.436e-05,8.436e-05
8,15.049,1.99963,3.4201,2.26242,0.0025,1,0.08555,0.01772,2.90693,4.4931,3.18625,9.149e-05,9.149e-05,9.149e-05
9,17.1667,2.00262,3.22614,2.32754,0.0025,1,0.33688,0.06986,2.64728,4.41761,3.07364,9.664e-05,9.664e-05,9.664e-05
10,19.1427,1.54845,3.22076,1.87268,0.0025,1,0.17619,0.03834,2.56314,4.39553,2.78274,9.981e-05,9.981e-05,9.981e-05
11,21.204,2.03436,4.17083,2.40179,0.0025,1,0.17845,0.02354,2.61123,4.63726,2.71349,0.000101,0.000101,0.000101
12,23.4516,1.49682,3.45396,2.07503,0.0025,1,0.1856,0.02406,2.672,4.45836,2.8032,0.00010021,0.00010021,0.00010021
13,25.5178,1.60253,3.82597,1.7136,0.0025,1,0.18713,0.03816,2.73119,4.24957,2.86208,9.744e-05,9.744e-05,9.744e-05
14,27.8566,1.56592,3.47918,1.81628,0.0025,1,0.07078,0.01157,2.83729,4.241,2.96282,9.269e-05,9.269e-05,9.269e-05
15,30.121,1.29406,3.26816,1.78778,0.0025,1,0.0868,0.01796,2.97455,4.2699,3.20646,8.596e-05,8.596e-05,8.596e-05
16,33.0612,1.31349,3.16068,1.7835,0.0025,1,0.07476,0.01521,2.98604,4.35588,3.23951,7.725e-05,7.725e-05,7.725e-05
17,35.0005,0.9898,3.1384,1.49115,0.0025,1,0.05308,0.0127,2.95988,4.39608,3.26894,6.656e-05,6.656e-05,6.656e-05
18,36.759,1.25939,3.13006,1.49265,0.0025,1,0.05308,0.0127,2.95988,4.39608,3.26894,5.389e-05,5.389e-05,5.389e-05
19,38.6388,0.88553,2.90878,1.51496,0.0025,1,0.07049,0.00975,2.8894,4.46698,3.25546,3.924e-05,3.924e-05,3.924e-05
20,40.4673,1.2053,3.27573,1.53749,0.0025,1,0.07049,0.00975,2.8894,4.46698,3.25546,2.261e-05,2.261e-05,2.261e-05
